International Morse code table
A	.-
B	-...
C	-.-.
Ĉ	-.-..
D	-..
E	.
F	..-.
G	--.
Ĝ	--.-.
H	....
Ĥ	-.--.
I	..
J	.---
Ĵ	.---.
K	-.-
L	.-..
M	--
N	-.
O	---
P	.--.
Q	--.-
R	.-.
S	...
Ŝ	...-.
T	-
U	..-
Ŭ	..--
V	...-
W	.--
X	-..-
Y	-.--
Z	--..
&	. ...
1	.----
2	..---
3	...--
4	....-
5	.....
6	-....
7	--...
8	---..
9	----.
0	-----
.	.-.-.-
,	--..--
?	..--..
=	-...-
